N,lower_bound,witness_file,points_sha256,min_margin_squared_numerator,method,source_author,source_url
1,1,data/witnesses/n001_1.json,b0d317a3ada5818326ed8cf9a2c369a0833045f2d94f5144cd19ddd7bf978738,4,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
2,4,data/witnesses/n002_4.json,8256e50dea4d27227d210c2c654309264e7d8adec5ba58eb1a211d412b8b0651,1,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
3,4,data/witnesses/n003_4.json,dd71d5811bcdfee10960ef92415bbe03109ef6c0558058fe4e8f1320890c9e62,5,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
4,7,data/witnesses/n004_7.json,ec86570c3f231dfd01ee16d3033d210a02fabbb0bfffab386f12e9a16bd319b3,4,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
5,9,data/witnesses/n005_9.json,3710dd07e7a7c06f4c4789f16f9ebcf921f5ab501ed0957baa135ad596c3f50c,4,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
6,10,data/witnesses/n006_10.json,bb5d04cfcd90c164b8a45646a0a3e3f0a251182d4976f6b407fc3485341abef1,9,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
7,12,data/witnesses/n007_12.json,9dc87041e867daa2ed3560ba7e3578301ea5f957f605b4c133826928dd4d30ce,12,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
8,14,data/witnesses/n008_14.json,980111f03ccf4fd1ac79c6ce8df4d664fe35fedffdea26f1a8f7adc842b80f0b,24,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
9,16,data/witnesses/n009_16.json,3bfcd956c3e81b9c16b935fe10e3565779549135591ca2b6f98c83f62a8a12e4,29,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
10,18,data/witnesses/n010_18.json,68e079df912fc7866a5bc5a658d19be8a28ee44baffee673dd063109883225e9,13,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
11,21,data/witnesses/n011_21.json,700b133d9bc2529638abd9db129c69a9a9281b3e9aa11649daa1cb09e5d46d8d,28,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
12,23,data/witnesses/n012_23.json,4f4a74e71527637b87ad25277fc425896df3aef281b20429b730ffd9cf637ac7,9,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
13,24,data/witnesses/n013_24.json,629a7896338dca1911f7cbf86ff279b595931ea2e7978d6564329f55ef247907,5,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
14,26,data/witnesses/n014_26.json,d62d0477018e9cff1f953f642c669ec8e5280a6c87b52a69fc9db1f67ba6632f,16,forum_witness_reverified,BorisAlexeev,https://www.erdosproblems.com/forum/thread/352
